date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:49	83769/83769	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2006:36:48%20GMT	https://demo.themewinter.com/html/exhibz/index-6.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/index-6.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:49	89847/89847	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2006:36:54%20GMT	https://demo.themewinter.com/html/exhibz/index-7.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/index-7.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:50	59609/59609	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:12:34%20GMT	https://demo.themewinter.com/html/exhibz/about-us.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/about-us.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:50	12789/12789	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:12:50%20GMT	https://demo.themewinter.com/html/exhibz/gallery.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/gallery.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:50	25244/25244	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:12:46%20GMT	https://demo.themewinter.com/html/exhibz/faq.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/faq.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:50	14186/14186	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:13:54%20GMT	https://demo.themewinter.com/html/exhibz/sponsors-1.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/sponsors-1.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:51	25475/25475	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:14:02%20GMT	https://demo.themewinter.com/html/exhibz/venue.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/venue.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:51	12717/12717	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:12:30%20GMT	https://demo.themewinter.com/html/exhibz/404.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/404.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:51	55537/55537	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:13:44%20GMT	https://demo.themewinter.com/html/exhibz/speakers-1.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/speakers-1.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:51	55491/55491	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:13:50%20GMT	https://demo.themewinter.com/html/exhibz/speakers-2.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/speakers-2.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:51	33957/33957	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:13:30%20GMT	https://demo.themewinter.com/html/exhibz/schedule-list.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/schedule-list.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:52	33856/33856	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:13:32%20GMT	https://demo.themewinter.com/html/exhibz/schedule-tab-1.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/schedule-tab-1.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:52	25634/25634	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:13:38%20GMT	https://demo.themewinter.com/html/exhibz/schedule-tab-2.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/schedule-tab-2.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:52	16846/16846	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:12:38%20GMT	https://demo.themewinter.com/html/exhibz/blog.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/blog.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:53	19423/19423	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:13:20%20GMT	https://demo.themewinter.com/html/exhibz/news-single.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/news-single.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:53	18106/18106	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202019%2005:12:42%20GMT	https://demo.themewinter.com/html/exhibz/contact.html	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/contact.html	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:53	158428/158428	---M--	200	added ('OK')	image/jpeg	etag:%2226adc-5be108c6-c603be8b222ac821;;;%22	https://demo.themewinter.com/html/exhibz/images/hero_area/banner_bg.jpg	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/hero_area/banner_bg.jpg	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:53	1009/1009	---M--	200	added ('OK')	image/png	etag:%223f1-5be10950-c7c1b5cdf624e6c4;;;%22	https://demo.themewinter.com/html/exhibz/images/pricing/dollar.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/pricing/dollar.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:53	1468/1468	---M--	200	added ('OK')	image/png	etag:%225bc-5bd6a074-71179fc9ed4a36c2;;;%22	https://demo.themewinter.com/html/exhibz/images/shap/pricing_memphis1.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/shap/pricing_memphis1.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:54	193192/193192	---M--	200	added ('OK')	image/jpeg	etag:%222f2a8-5be11124-49ff9d430b4f3166;;;%22	https://demo.themewinter.com/html/exhibz/images/pricing/pricing_img.jpg	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/pricing/pricing_img.jpg	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:54	847/847	---M--	200	added ('OK')	image/png	etag:%2234f-5be10950-a8fd8a0e2245cf46;;;%22	https://demo.themewinter.com/html/exhibz/images/pricing/dot.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/pricing/dot.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:54	1489/1489	---M--	200	added ('OK')	image/png	etag:%225d1-5be10c4a-2c48773d24513b4d;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-1.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-1.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:54	1496/1496	---M--	200	added ('OK')	image/png	etag:%225d8-5be10c4a-97aaee316402b2b5;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-2.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-2.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:54	1281/1281	---M--	200	added ('OK')	image/png	etag:%22501-5be10c4a-1bd48e5238f41c9f;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-3.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-3.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:55	1037/1037	---M--	200	added ('OK')	image/png	etag:%2240d-5be10c4a-b7677a43c86adb18;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-4.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-4.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:55	1380/1380	---M--	200	added ('OK')	image/png	etag:%22564-5be10c4a-93d54ae7e3c0e857;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-5.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-5.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:55	1253/1253	---M--	200	added ('OK')	image/png	etag:%224e5-5be10c4a-a9f0c641fac7dfad;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-6.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-6.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:55	2553/2553	---M--	200	added ('OK')	image/png	etag:%229f9-5be10c4a-5d7a8b65818e769b;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-7.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-7.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:56	1131/1131	---M--	200	added ('OK')	image/png	etag:%2246b-5be10c4a-4fd5fbce69dc6acd;;;%22	https://demo.themewinter.com/html/exhibz/images/sponsors/sponsor-8.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/sponsors/sponsor-8.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:56	208374/208374	---M--	200	added ('OK')	image/jpeg	etag:%2232df6-5c3c8702-d80482dd7da9b309;;;%22	https://demo.themewinter.com/html/exhibz/images/book_seat_img.jpg	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/book_seat_img.jpg	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:56	2132/2132	---M--	200	added ('OK')	image/png	etag:%22854-5bd6a1a0-393555eb6063030d;;;%22	https://demo.themewinter.com/html/exhibz/images/shap/subscribe_pattern.png	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/images/shap/subscribe_pattern.png	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:56	89771/89771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215eab-65b8907a-aaba91d42c74ee01;br%22	https://demo.themewinter.com/html/exhibz/js/jquery.js	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/js/jquery.js	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:57	22349/22349	---MCZ	200	added ('OK')	application/javascript	etag:W/%22574d-65b8ac12-7891c7490b34700b;br%22	https://demo.themewinter.com/html/exhibz/js/popper.min.js	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/js/popper.min.js	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:57	53678/53678	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d1ae-65b8962a-a82cd0c5a649ab91;br%22	https://demo.themewinter.com/html/exhibz/js/bootstrap.min.js	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/js/bootstrap.min.js	(from https://demo.themewinter.com/html/exhibz/pricing.html)
17:00:58	4072/4072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fe8-65b88ae9-1ea56b740bc906ba;br%22	https://demo.themewinter.com/html/exhibz/js/jquery.appear.min.js	C:/Users/ycode/Desktop/n/https___demo.themewinter.com_html_exhibz_pricing.html/demo.themewinter.com/html/exhibz/js/jquery.appear.min.js	(from https://demo.themewinter.com/html/exhibz/pricing.html)
